anxious xavotirlangan
volcano vulqon

broad keng,katta
bush buta
capable qobiliyatli
cheat g'irromlik-qilmoq
consentrate diqqatni-jamlamoq
conclude deb-xulosa-qilmoq
confident o'ziga-ishongan
considerable sezilarli
convey ifodalamoq
definite aniq,yaqqol
delight zavq,shavq
destination manzil
dictate aytib-yozdirmoq
edge chet,qirra
path so'qmoq
resort asoslanmoq
shadow soya
succeed muvaffaqiyat-qozonmoq
sespect deb-hisoblamoq
valley vodiy

admire qoil-qolmoq
aid yordam-bermoq
attempt harakat-qilmoq
authority vakolat,huquq
capital poytaxt
cooperate hamkorlik-qilmoq
defend mudofa-qilmoq
destruction vayrona
disorder tartibsizlik
division bo'lish
enable imkoniyat-bermoq
frustrate umidsizlantirmoq
govern boshqarmoq
plenty yetarli-miqdor
relieve yengillashtirmoq
reputation obro'
royal qirollik
slave qul
struggle kurashmoq
stupid ahmoq

citizen fuqaro
council kengash,konsullik
declare aytmoq,bildirmoq
enourmous ulkan
extraordinary g'ayritabiiy
fog tuman
funeral dafn-marosimi
giant ulkan,bahaybat
imperession taasurot
income daromad
mad badjahil
ought kerak,lozim
resist qarshilik-ko'rsatmoq
reveal ko'rsatmoq
rid halos-qilmoq
sword qilich
tale ertak
trap tutqunlikda-saqlamoq
trial sud-jarayoni
violent zo'ravon,quturgan

admission ruxsat-kirish
astronomy astonomiya
blame ayblamoq
chemistry kimyo
despite ga-qaramasdan
dinosaur dinazavr
exhibit eksponat
fame shon-shuxrat,obro'
forecast ob-havo-ma'lumoti
genius juda-aqlli
gentle muloyim,yuvvosh
geography geografiya
interfere halaqit-bermoq
lightly muloyimlik-bilan
principal maktab-direktori
row qator
shelf tokcha
spite qastdan
supper juda-yaxshi
wet nam,ho'l

abuse haqorat-qilmoq
affort qurbi-yetmoq
bake pishirmoq
bean noxat,loviya
candle shag'am
convert ga-aylantirmoq
dept qarz
decrease kamaytirmoq
fault xato,ayb
fund fond
generous sahiy,qo'li-ochiq
ingredient tarkibiy-qism
insist talab-qilmoq
mess kir,tartibsizlik
metal metal
monitor kuzatib-bormoq
oppose qarshi-chiqmoq
passive passiv
quantity miqdor
sue sudga-bermoq

anxiety tashvish,g'am
army armiya
billion miliard
carve kesmoq,tog'ramoq
consult yordam-so'ramoq
emergency favqulotda-vaziyat
fortune omad
guarantee kafolat-bermoq
hike piyoda-yurmoq
initial birinchi-dastlabki
intense jadal
peak cho'qqi
lend berib-turmoq
potential potensial
pride mamnuniyat
proof isbot,dalil
quit to'xtamoq
spin aylanmoq
tiny kichik
tutor repititor

apparent aniq,muqarrar
blind ko'r
calculate hisoblamoq
chat suhbatlashmoq
commit va'da-bermoq
compose tuzmoq
dormitory yotoqxona
exhaust holdan-toydirmoq
greenhouse issiqxona
ingnore e'tiborsiz-qoldirmoq
obvious aniq
physics fizika
porsion qism,bo'lak
remind eslatmoq
secretary kotiba
severe qattiq,jiddiy
talent iqtidor
thesis teziz
uniform forma
vision ko'rish-qobilyati

absorb so'rmoq,shimmoq
boss ho'jayin
commitee qo'mita,komitet
contract shartnoma
crew brigada
devote bag'ishlamoq
dig kavlamoq
dine tushlik-qilmoq
donate hadiya-qilmoq
double ikki-hissa
elevate balandroqqa-qo'ymoq
flavor ta'm,maza
foundation jamg'arma
generation avlod
handle band,tutqich
layer qatlam
mud loy
smooth tekis
soil tuproq
unique o'zgacha,g'ayrioddiy

chamber yotoqxona
deny inkor-qilmoq
document hujjat
emphasize takidlamoq
fever istma
flu grip
freeze muzlamoq
gesture imo-ishora
interupt bezovta-qilmoq
last davom-ettirmoq
likeness o'xshashlik
moreover bundan-tashqari
perspective dunyo-qarash
rational ongli
recover qayta-tiklanmoq
rely suyanmoq,tayanmoq
shock hayratda-qoldirmoq
shy uyatchan
stare tikilmoq
thus shuning-uchun

aim maqsad
attach mahkamlamoq
bet pul-tikmoq
carriage ot-arava
classic odatiy
commute piyoda-yurmoq
confirm yasdiqlamoq
criticize tanqid-qilmoq
differ farq-qilmoq
expense chiqim,xarajat
formal rasmiy
height bo'y
invent ixtiro-qilmoq
junior kichik
labor mehnat
mechanic mexanik
prime birinchi,bosh
shift joyini-o'zgartirmoq
signal belgi,signal
sincere samimiy

ability qobiliyat,istedod
agriculture qishloq-xo'jaligi
cartoon multfilm
ceiling shift,patalog
convince ishontirmoq
curious qiziqqon
delay kechiktirmoq
diary kundalik
element element
faith ishonch
grain don
greet salomlashmoq
investigate o'rganib-chiqmoq
joy shodlik
lebel yorliq
monk rohib
odd noodatoy
pause to'xtamoq
priest ruhoniy
profession kasb

adopt farzandlikka-olmoq
beg sadaqa-so'ramoq
beyond nargi-tarafida
costume kiyim
exclaim xitob-qilmoq
extend qo'l-cho'zmoq
fool ahmoq
forbid ta'qiqlamoq
illustrate ko'rsatmoq
indeed haqiqatda
inyerpret izohlamoq
kindly muloyimlik-bilan
motive sabab
nest uya
origin kelib-chiqish
reception to'y-marosimi
reject rad-etmoq
silence jimlik
stream daryocha
tone ovoz

accomplish bajarmoq
approve maqullamoq
approximate deyarli-to'g'ri
barrier to'siq
detect sezmoq
duty burch,vazifa
elementary boshlang'ich
failure muvaffaqiyatsizlik
gradual bosqichma-bosqich
immigrant imigrant
insert ichiga-qo'ymoq
instant on,lahza
poverty qashshoqlik
pretent dek-tutmoq
rank martaba,unvon
recognition hurmat
refrigerate muzlatgichda-saqlash
rent ijara-haqqi
retire istefoga-chiqmoq
statistic statistika

astronaut astranavt
awake uyg'oq
courage botirlik
float suv-ostida-suzmoq
grant bermoq
gravity gravitatsiya
jewel qimmatbaho-tosh
miner konchi
mineral mineral
participate ishtirok-etmoq
permission ruxsat
pour quymoq
presence bor-bo'lish
row hom,pishmagan
sattelite suniy-yo'ldosh
scale kattalik
skip o'tkazib-yubormoq
stretch cho'zmoq
telescope teleskop
underground yer-ostida

alarm signalizatsiya
apart alohida
arrest hibisga-olmoq
award mukofot,sovrin
breed zod,nasl
bucket chelak,paqir
contest musobaqa
convict hukm-qilmoq
garage garaj
journalist jurnalist
pup kuchuk
qualify o'zgartirmoq
repair tamirlamoq
resume davom-ettirmoq
rob o'irlamoq
slip sirpanib-ketmoq
somewhat biroz
stable mustahkam
tissue salfetka
yard ochiq-maydon

alike o'xshash
annoy ochchiqlantirmoq
architecture arxitektura
artificial sun'iy
chain zanjir
distinct farqli
distinguish farqlamoq
dust chang
excitement hursandchilik
heal tuzalmoq
inherit meros-qilmoq
manner o'zini-tutish
mount ko'paymoq
roof tom
shortage tanqislik
solid qattiqlik
stock zaxira
substance modda
tomb qabr
wound jarohat,yara

bath vanna
bend bukmoq
chew chaynamoq
disabled nogiron
fantastic ajoyib
fiction fantastik-asar
flag bayroq
inspect tekshirmoq
journal jurnal
liquid suyuqlik
marvel hayron-qolmoq
nutrient ozuqa
overcome ustun-kelmoq
recall eslamoq
regret afsuslanmoq
soul ruh
sufficient yetarli
surgery jarrohlik
tough qiyin
tube quvur

admit tan-olmoq
bin quti
bowl kosa
cabin kulba
cash naqd-pul
criminal jinoyatchi
dozen o'n-ikkita
elder yoshi-katta
facial yuzdagi
fance panjara
inspire ilhomlantirmoq
mere arzimagan
neat toza
occasion voqea
penalty jarima
rude qo'pol
settle hal-qilmoq
vehicle transport-vositasi
wallet hamyon
yell dodlamoq

accuse ayblamoq
adjust o'zgartirmoq
amuse kuldurmoq
coral marjon
cotton paxta
crash to'qnashmoq
deck paluba
engage band-bo'lmoq
firm mustaxkam
fuel yoqilg'i
grand hashamatli
hurricane dovul
loss yo'qotish
plain oddiy
reef tosh
shut yopmoq
strict talabchan
surf syo'rfing-uchmoq
task vazifa
zone hudud

apology uzur,kechirim
bold qo'rqmas
capture tutmoq
cardinal eng-muhim
duke gertsog
expose oshkor-qilmoq
guility aybdor
hire yonlamoq
innocent aybsiz
jail qamoqxona
minister vazir
ordinary odatiy
permanent o'zgarmas
preserve saqlamoq
pronounce talafuz-qilmoq
resemble o'xshamoq
symptom alomat
tobacco tamaki
twin egizaklar
witch jodugar

accompany sherik-bo'lmoq
bare yalang'och
branch shox
breath nafas
bridge ko'prik
cast otmoq,uloqtirmoq
dare jurat-qilmoq
electronic elektron
inn mehmonxona
net to'r
philosophy falsafa
pot qozon
seed urug'
sharp o'tkir
sort tur,nav
subtract ayirmoq
tight tarang
virtual virtual
weigh vaznga-ega-bo'lmoq
whisper pichirlamoq

abstract mavhum
annual yillik
clay gil
cloth gazlama
curtain parda
deserve sazovor-bo'lmoq
feather pat
fertile unumdor
flood suv-toshqini
furniture mebel
grave qabr
ideal ideal
intelligence o'qimishlilik
nowadays hozirgi-paytda
obtain qo'lga-kiritmoq
religious diniy
romantic romantik
shell chig'anoq
shore qirg'oq
wheel g'ildirak

appeal jalb-qilmoq
assume taxmin-qilmoq
borrow qarz-olmoq
client mijoz
downtown shaxar-markazi
dull zerikarli
embarass uyaltirmoq
fare yo'l-haqi
former oldingi-sobiq
formula formula
found asos-solmoq
invest pul-sarf-qilmoq
loan qarz-bermoq
practical foydali
quarter 25-sentlik-tanga
salary maosh
scholarship stependiya
temporary vaqtinchalik
treasure xazina
urge undamoq

































