afraid qo'rqqan,cho'chigan
benifit foyda,ustun-jihat
certain ishonchi-komil
chance imkoniyat
effect ta'sir,samara
essential juda-muhim,zarur
far uzoq,olis
focus diqqatini-qaratmoq
function funksiya,vazifa
grass maysa,o't
guard qo'riqlamoq
image rasm,ko'rinish
immediate tezkor
primary asosiy,birinchi-darajali
proud fahrlanmoq
remain qolmoq
rest dam-olmoq
separate alohida,ajralgan
site joy
tail dum
trouble muammo,qiyinchilik

against qarama-qarshi
beach sohil
damage shikaslamoq
discover kashf-qilmoq
emotion ruhiy-kechinma
fix tuzatmoq,ta'mirlamoq
frank ochiq,samimiy
identify tanib-bilmoq
island orol
ocean okean
perhaps ehtimol,balki
pleasant yoqimli
prevent to'sqinlik-qilmoq
rock tosh
save asramoq,saqlamoq
step yurmoq,qadam
still haliyam
taste maza,ta'm
throw uloqtirmoq,otmoq
wave to'lqin,mavj

anymore ortiq,boshqa
asleep uxlayotgan,uyquda
berry malina
collect to'plamoq,yig'moq
compete musobaqalashmoq
conversation suhbat,muloqot
creature jonvor,mavjudot
decision qaror
either ikkisidan-biri
forest o'rmon
ground yer
introduce tanishtirmoq
marry turmush qurmoq
prepare tayyorlanmoq
sail qayiqda-suzmoq
serious jiddiy,og'ir
spend o'tkazmoq
strange g'alati,noodatiy
truth haqiqat
wake uyg'onmoq

alone yolg'iz
apartment kvartira
article maqola
artist rassom
attitude munosabad
compare taqqoslamoq
judge baho-bermoq
magazine jurnal
material materyal,xom-ashyo
meal ovqatlanish-payti,taom
method metod,usul
neighbor qo'shni
professional kasbiy,profesional
profit foyda
quality sifat
shape shakl
space bo'sh-joy
stair zina
symbol ramz,belgi
thin oriq,o'zg'in

blood qon
burn olovda-yonmoq
cell kamera
contain o'z-ichiga olmoq
correct to'g'ri,bexato
crop hosil,o'rim
demand talab-qilmoq
equal teng,barobar
feed ovqatlantirmoq
hole teshik,chuqurcha
increase oshirmoq,ko'tarmoq
lord lord
owe qarz-bo'lmoq
position pozitsiya,holat
raise ko'tarmoq
responsible masuliyatli
sight manzara
spot joy,makon
structure tuzilish
whole barcha,butun

coach murabbiy,trener
control nazorat qilmoq
description ta'rif,tavsif
direct to'g'ridan-to'g'ri
exam imtihon
example misol,namuna
limit me'yor
local mahalliy
magical sehirli,sirli
mail xat,pochta
novel roman
outline reja
poet shoir
print qog'ozga tushirmoq
scene sahna,epizod
sheet varoq
silly ahmoqona
store do'kon,unvermarg
suffer azoblanmoq
technology tehnologiya

across nargi-tomoniga
breathe nafas-olmoq
characteristic xususiyat
consume istemol-qilmoq
excite hayajonga-solmoq
extreme keskin,shiddatli
fear qo'rquv
fortunate omadli
happen nasib-qilmoq
length uzunlik
mistake xato
observe kuzatmoq
opportunity imkoniyat
prize mukofot,sovrin
race poyga
realize fahmlamoq
respond javob-qaytarmoq
risk tavakkal
wonder bilishni-xoxlamoq
yet haliyam

academy akademiya
ancient qadimiy
board taxta
century asr
clue ashyoviy-dalil
concert konsert
county okurug
dictionary lug'at
exist mavjud-bo'lmoq
flat tekis,liliq
gentleman jentlmen
hidden yashirin
maybe balki,ehtimil
officer ofitser
original asl-nusxasi
pound urmoq,qoqmoq
process jarayon
publish chop-etmoq
theater teatr
wealth boylik

appreciate qadrlamoq
available mavjud,bor
beat yengmoq
bright yorqin
celebrate nishonlamoq
determine tanlamoq
disappear ko'rinmay-ketmoq
else boshqa,o'zga
fail xolis,adolatli
flow oqmoq
forward oldinga
hill tepalik
level daraja
lone yolg'iz,yakka
puddle ko'lmak
response javob
season fasl,mavsum
solution yechim,javob
waste behuda-sovurmoq
whether mi,yo-bo'lmasa

argue bahslashmoq
communicate suhbat-qurmoq
crowd omma,olamon
depend tegishli-bo'lmoq
dish idish
empty bo'sh
exact aniq
fresh yangi
gather to'plamoq
indicate ko'rsatmoq
item buyum,narsa
offer taklif-qilmoq
price narx
product mahsulot
property mulk
purchase sotib-olmoq
recommend tavsiya-qilmoq
select tanlamoq
tool asbob,anjom
treat munosabatda-bo'lmoq

alive tirik,hayot
bone suyak
bother harakat-qilmoq
captain kapitan
conclusion yakun,nihoya
doubt shubha
explore tadqiq-etmoq
foreign chet
glad hursand
however lekin,ammo
injustice adolatsizlik
international xalqaro
lawyer huquqshunos
mention takidlamoq
policy qonun
social ijtimoiy
speech nutq
staff jamoq
toward sari,tomon
wood yog'och

achieve erishmoq,olmoq
advise maslahat-bermoq
already allaqachon
basic oddiy,sodda
bit bo'lak,parcha
consider haqida-o'ylamoq
destroy vayron-qilmoq
entertain hursand-qilmoq
extra qo'shimcha
goal maqsad
lie aldamoq
meat go'sht
opinion fikr,mulohaza
real haqiqiy
reflect aks-ettirmoq
regard deb-hisoblamoq
serve hizmat-ko'rsatmoq,tortmoq
vegetable sabzavot
war urush
worth arziydigan



appear dek-tuyilmoq
base asos-taglik
brain miya
career ish-faoliyati
clerk do'kon-yordamchisi
effort harakat,urinish
enter kirmoq
excellent juda-yaxshi,a'lo
hero qahramon
hurry shoshilmoq
inform habar-bermoq
later keyinroq
leave tark-etmoq,ketmoq
locate topmoq
nurse hamshira
operation operatsiya
pain og'riq
refuse rad-etmoq
though ga-qaramasdan
various turli-tuman

actual haqiqiy
amaze hayratda-qoldirmoq
charge narx
comfort taskin-bermoq,ovutmoq
contact aloqaga-chiqmoq
customer haridor
deliver elitmoq,yetkazmoq
earn pul ishlab-topmoq
gate darvoza
include o'z-ichiga-olmoq
manage boshqarmoq
mystery sir,junboq
occur sodir-bo'lmoq
opposite teskari,zid
plate likop
receive qabul-qilmoq
reward mukofot,sovrin
set qo'ymoq,o'rnatmoq
steal o'g'irlamoq
thief o'g'ri

advance oldinga-yurmoq
athlete sportchi
average o'rtacha
behavior xulq-atvor
behind orqasida
course kurs,dars
lower pasaymoq
match mos-kelmoq
member a'zo
mental aqliy
passenger yo'lovchi
personality shaxsiyat
poem she'r
pole ustun,xoda
remove olib-tashlamoq
safety xavfsizlik
shoot o'q-uzmoq,otmoq
sound ovoz-chiqarmoq
swim suzmoq
web o'rgamchak-to'ri

block bo'lak
cheer qichqirmoq,ruhlantirmoq
complex murakkab
critic tanqidchi
event voqea,tadbir
exercise mashq-qilmoq
fit mos-kelmoq
friendship do'stlik
guide gid,yo'lboshchi
lack kamchilik
passage yo'lak
perform ijro-etmoq
pressure bosm
probable ehtimol
public ijtimoiy,ommaviy
strike urmoq
support qo'llab-quvatlamoq
task topshiriq,vazifa
term termin,so'z
unite birlashmoq

associate bog'lamoq
environment atrof-muhit
factory fabrika,zavod
feature haqiqiy
instance misol,namuna
involve jalb-qilmoq
medicine dori-darmon
mix aralashma
organize tashkil-etmoq
period davr,zamon
populate yashamoq
produce ishlab-chiqarmoq
range qator,miqdor
recognize tanimoq,bilmoq
regular muntazam
sign belgi,ishora
tip uch
tradition an'ana,udum
trash axlat
wide keng

advice maslahat
along bo'ylab
attention diqqat,e'tibor
attract tortmoq,jalb qilmoq
climb tirmashmoq,chirmashmoq
drop tomchilamoq
final oxirgi,so'ngi
further uzunroq,uzoqroq
imply nazarda-tutmoq
maintain ayni-holda-saqlamoq
neither hech-qaysisi
otherwise aks-holda
physical jismoniy
prove isbotlamoq
react munosabat-bildirmoq
ride haydamoq,minmoq
situated joylashgan
society jamiyat
standard me'zon
suggest taklif-qilmoq

actually aslida
bite tishlamoq
coast sohil,qirg'oq
deal kelishuv,shartnoma
desert cho'l
earthquake zilzila
effective samarali
false xato
examine tekshirib-ko'rmoq
gift sovg'a
hunger ochlik
imagine tasavvur-qilmoq
journey sayohat
puzzle boshqotirma
quite juda,rosa
rather maqul-ko'rmoq
specific aniq,muayyan
tour safar
trip sayohat
value qiymat,baho

band guruh
barely arang
boring zerikarli
cancel bekor-qilmoq
driveway tratuar,yo'lak
garbage chiqindi,axlat
instrument asbob
list ro'yhat
magic sehir,jodu
message xabar
notice payqamoq
own egalik-qilmoq
predict bashorat-qilmoq
professor professor
rush shoshmoq
schedule jadval
share bo'lishmoq
stage sahna
storm bo'ron
within ichida

above tepasida
ahead old-tarafida
amount miqdor
belief ishonch
center markaz
common odatiy
cost narxda-turmoq
demonstrate ko'rsatmoq
different turlicha
evidence dalil
honesty odillik
idiom idioma
independent mustaqil
inside ichki-qism
master master,usta
memory hotira
proper aniq,o'rinli
scan qarab-chiqmoq
section qism,bo'lim
surface yuza,sirt

advertise reklama-qilmoq
assign tayinlamoq
audience auditoriya
breakfast nonushta
competition musobaqa
cool salqin
gain olmoq
importance ahamiyat
knowledge bilim
major muhim
mean baxil,ziqna
prefer avfzal-ko'rmoq
president prezident
progress o'sish
respect hurmat
rich boy
skill mahorat
somehow bir-amallab
strength kuch,quvvat
vote ovoz-bermoq









